"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"20","IFN3",34,1016,"N",NA,"34_1016_N_N",351000,4752000,"natural",0,42,NA,NA,190.985931710274,NA,190.985931710274,190.985931710274,NA,NA,0,127.323954473516,31.8309886183791,31.8309886183791,0,0,0,0,0,13.2916666666667,13.8249321878988,13.2916666666667,2.86693125,NA,2.86693125,2.86693125,NA,NA,5.25,5.25,"30",39.4984326018809,39.4984326018809,73.8026225176206,137.828810392051,256.528321350209
"21","IFN3",34,1017,"N",NA,"34_1017_N_N",375000,4752000,"plantation",0,21,NA,NA,2369.64026381266,NA,2369.64026381266,2369.64026381266,NA,NA,0,636.619772367581,1114.08460164327,604.788783749202,14.1471060526129,0,0,0,0,15.0491044776119,15.3956235301009,21.9983870967742,44.1130277777778,NA,44.1130277777778,44.1130277777778,NA,NA,8.28731343283582,9.56451612903226,"70",55.0684822818832,43.4782608695652,1088.33186617742,21.4780963289125,39.9752416158978
"22","IFN3",34,1018,"N",NA,"34_1018_N_N",354000,4751000,"plantation",0,21,43,NA,891.267681314614,NA,891.267681314614,636.619772367581,254.647908947033,NA,0,891.267681314614,0,0,0,0,0,0,0,9.40714285714286,9.47656884863172,12.05,6.286375,NA,6.286375,4.67255,1.613825,NA,4.85714285714286,5.5,"75",51.6324981017464,45.6431535269709,187.862239743254,60.902235062789,113.351831759219
"23","IFN3",34,1019,"N",NA,"34_1019_N_N",369000,4751000,"natural",0,43,NA,NA,1382.87961664291,NA,1382.87961664291,1382.87961664291,NA,NA,0,763.943726841098,572.957795130823,31.8309886183791,14.1471060526129,0,0,0,0,12.2898976982097,12.6431883240519,18.6612903225806,17.3615090277778,NA,17.3615090277778,17.3615090277778,NA,NA,7.17647058823529,7.48387096774194,"65",58.3932491910059,40.1037165082109,462.988832184846,35.9320107808283,66.8770076598957
"24","IFN3",34,102,"A",NA,"34_102_A_1",372000,4747000,"natural",1,71,NA,NA,726.170953680621,616.530881772871,109.64007190775,726.170953680621,NA,NA,0,127.323954473516,95.4929658551372,190.985931710274,127.323954473516,42.4413181578388,70.7355302630646,56.5884242104517,15.278874536822,22.9430450029223,24.851910023452,39.9440677966102,35.2247808611111,30.4593301666667,4.76545069444444,35.2247808611111,NA,NA,11.6429962984609,16.5723684210526,"85",50.7473890103862,41.4889352417408,719.279353858493,22.3921597453085,41.6765053295491
"25","IFN3",34,1020,"N",NA,"34_1020_N_N",371000,4750000,"natural",0,58,255,57,845.7139998252,NA,845.7139998252,430.354966120485,396.118969473162,19.2400642315536,0,381.971863420549,95.4929658551372,95.4929658551372,56.5884242104517,0,42.4413181578388,56.5884242104517,117.138038115635,22.010162261626,26.8853694584377,54.5225,48.0115159722222,NA,48.0115159722222,39.9948996944444,5.0892125,2.92740377777778,11.4677985948478,20.775,"40",52.1022901082448,38.1035352377459,950.392499728759,16.5518753705689,30.8065112942076
"26","IFN3",34,1021,"N",NA,"34_1021_N_N",354000,4749000,"natural",0,65,42,71,669.582529470169,NA,669.582529470169,279.405344539105,29.4259805894349,360.751204341629,0,254.647908947033,159.154943091895,127.323954473516,84.8826363156775,14.1471060526129,14.1471060526129,0,15.278874536822,17.2386330023241,20.6936898191422,35.4084745762712,22.5200766944444,NA,22.5200766944444,8.40997222222222,8.29040377777778,5.81970069444444,7.5435241918445,9.48587570621469,"75",43.7594105682712,26.7898457070828,494.345158994508,40.7399520390079,75.8255946541745
"27","IFN3",34,1022,"N",NA,"34_1022_N_N",370000,4749000,"plantation",0,21,NA,NA,350.14087480217,NA,350.14087480217,350.14087480217,NA,NA,0,254.647908947033,95.4929658551372,0,0,0,0,0,0,10.9409090909091,11.2831833838118,12.4214285714286,3.50103125,NA,3.50103125,3.50103125,NA,NA,5.22727272727273,5.35714285714286,"65",47.7773161611965,43.1282346175963,97.6566655838174,99.757456173864,185.669546894125
"30","IFN3",34,1025,"N",NA,"34_1025_N_N",352000,4746000,"plantation",0,21,NA,NA,371.361533881089,NA,371.361533881089,371.361533881089,NA,NA,0,0,127.323954473516,159.154943091895,84.8826363156775,0,0,0,0,19.6757142857143,19.9548281542755,23.7409090909091,11.6140256944444,NA,11.6140256944444,11.6140256944444,NA,NA,7.57142857142857,8,"70",38.4810861831119,33.6971089412215,258.630792358816,64.8651690898726,120.727683083029
"31","IFN3",34,1026,"N",NA,"34_1026_N_N",354000,4746000,"plantation",0,21,NA,NA,1464.22547644544,NA,1464.22547644544,1464.22547644544,NA,NA,0,763.943726841098,668.45076098596,31.8309886183791,0,0,0,0,0,12.2,12.545941661506,17.675,18.101075,NA,18.101075,18.101075,NA,NA,5.6304347826087,7.125,"75",46.1511047754811,40.3111739745403,484.185727409488,36.6784649784968,68.2663154667906
"32","IFN3",34,1027,"N",NA,"34_1027_N_N",355000,4745000,"natural",0,42,NA,NA,45.978094670992,NA,45.978094670992,45.978094670992,NA,NA,0,0,31.8309886183791,0,14.1471060526129,0,0,0,0,16.4884615384615,17.514856331346,16.4884615384615,1.10778125,NA,1.10778125,1.10778125,NA,NA,5,5,"40",30.3242360625146,30.3242360625146,25.9731615039181,294.954149669236,548.971529789038
"35","IFN3",34,103,"A",NA,"34_103_A_3C",373000,4747000,"natural",1,71,57,NA,831.142480591009,498.685488354605,332.456992236404,816.995374538396,14.1471060526129,NA,0,381.971863420549,318.309886183791,31.8309886183791,28.2942121052258,56.5884242104517,14.1471060526129,0,0,13.8359574468085,15.4121756924345,41.8516129032258,15.5057673611111,11.6013173611111,3.90445,14.1832673611111,1.3225,NA,6.46170212765958,17.1055900621118,"85",46.7022405388365,40.8719972194748,382.387254152403,20.27795710535,37.7415308298053
"36","IFN3",34,103,"A",NA,"34_103_A_3E",373000,4747000,"natural",0,42,71,215,1339.58947212192,NA,1339.58947212192,443.228832628363,769.036685020038,127.323954473516,0,763.943726841098,190.985931710274,95.4929658551372,99.0297423682904,70.7355302630646,56.5884242104517,42.4413181578388,20.3718327157626,15.9576090400253,18.9742231251806,41.8516129032258,37.8782245,NA,37.8782245,27.155083,10.1455415,0.5776,10.0357482310698,17.1055900621118,"85",62.8900495424963,40.8719972194748,860.461091593829,15.9726169705406,29.7283899307234
"37","IFN3",34,1030,"N",NA,"34_1030_N_N",373000,4744000,"natural",0,71,255,NA,149.676382036645,NA,149.676382036645,135.529275984032,14.1471060526129,NA,0,0,63.6619772367581,0,56.5884242104517,14.1471060526129,0,0,15.278874536822,24.8292060491493,28.1110135565369,28.0243697478992,9.28958188888889,NA,9.28958188888889,8.55284577777778,0.736736111111111,NA,7.57844990548204,8.13985594237695,"65",30.5223207318048,29.0456342661806,180.678448608881,100.416861304682,186.896838131838
"38","IFN3",34,1031,"N",NA,"34_1031_N_N",374000,4744000,"natural",0,45,44,42,2769.29600979898,NA,2769.29600979898,2546.47908947033,159.154943091895,63.6619772367581,0,2164.50722604978,604.788783749202,0,0,0,0,0,0,10.7689655172414,11.0183650246346,15.7875,26.40545,NA,26.40545,22.53538125,2.65006875,1.22,4.44827586206897,6.125,"65",41.3064361191162,38.7965162311956,743.487551294481,31.0248161792216,57.7436893782661
"39","IFN3",34,1032,"N",NA,"34_1032_N_N",381000,4762000,"natural",0,42,43,NA,1430.69683510074,NA,1430.69683510074,475.767176549372,954.929658551372,NA,0,891.267681314614,381.971863420549,31.8309886183791,0,28.2942121052258,14.1471060526129,42.4413181578388,40.7436654315252,13.5330267971917,16.0372357618464,40.3134517766497,28.8999123333333,NA,28.8999123333333,20.1747435833333,8.72516875,NA,10.3131118362504,17.3020304568528,"60",76.2069859965877,42.9187521641956,701.595463323815,15.2802028472388,28.4396620354123
"40","IFN3",34,1033,"N",NA,"34_1033_N_N",377000,4761000,"natural",0,43,NA,NA,1556.18166578742,NA,1556.18166578742,1556.18166578742,NA,NA,0,509.295817894065,604.788783749202,286.478897565412,99.0297423682904,56.5884242104517,0,0,0,15.8139772727273,16.4904829647009,27.475,33.2366256944444,NA,33.2366256944444,33.2366256944444,NA,NA,10.3909090909091,12.75,"50",65.707120427125,46.4058234758872,798.042733759772,19.8819816235611,37.0045374149292
"41","IFN3",34,1034,"N",NA,"34_1034_N_N",388000,4760000,"natural",0,273,NA,NA,159.154943091895,NA,159.154943091895,159.154943091895,NA,NA,0,0,159.154943091895,0,0,0,0,0,0,14.19,14.2183508185725,14.6,2.52701875,NA,2.52701875,2.52701875,NA,NA,8.7,8.875,"70",61.3107822410148,60.7876712328767,64.3353139918487,89.31441797422,166.23286270937
"42","IFN3",34,1035,"N",NA,"34_1035_N_N",381000,4759000,"natural",0,43,NA,NA,1952.30063526058,NA,1952.30063526058,1952.30063526058,NA,NA,0,1527.8874536822,318.309886183791,63.6619772367581,28.2942121052258,14.1471060526129,0,0,0,11.2813405797101,11.8034806644948,22.3716666666667,21.3627305555556,NA,21.3627305555556,21.3627305555556,NA,NA,8.69746376811594,11.8333333333333,"85",77.0960127181925,52.89428592714,585.368274214276,19.1257975274174,35.597120226435
"43","IFN3",34,1036,"N",NA,"34_1036_N_N",384000,4757000,"natural",0,43,215,NA,1287.38665078778,NA,1287.38665078778,1032.73874184074,254.647908947033,NA,0,763.943726841098,222.816920328653,159.154943091895,84.8826363156775,56.5884242104517,0,0,0,13.8491758241758,14.9522559766481,27.5,22.6054069444444,NA,22.6054069444444,20.2994069444444,2.306,NA,6.30082417582418,10.25,"85",45.4960226934598,37.2727272727273,564.182458023995,27.1907779857604,50.60774023263
"44","IFN3",34,1037,"N",NA,"34_1037_N_N",381000,4756000,"natural",0,43,NA,NA,1029.20196532759,NA,1029.20196532759,1029.20196532759,NA,NA,0,381.971863420549,318.309886183791,159.154943091895,127.323954473516,42.4413181578388,0,0,0,15.7048109965636,16.7413782498475,26.8375,22.6554611111111,NA,22.6554611111111,22.6554611111111,NA,NA,10.0017182130584,13.9375,"80",63.6856961554452,51.932929669306,540.744091926352,22.3647895661118,41.6255636860392
"45","IFN3",34,1038,"N",NA,"34_1038_N_N",380000,4755000,"natural",0,43,NA,NA,459.78094670992,NA,459.78094670992,459.78094670992,NA,NA,0,127.323954473516,159.154943091895,159.154943091895,0,14.1471060526129,0,0,0,14.7180769230769,15.5933127925452,21.25,8.78046736111111,NA,8.78046736111111,8.78046736111111,NA,NA,7.09615384615385,9,"65",48.2138657328769,42.3529411764706,215.537764060641,51.8181621262769,96.4444669289074
"46","IFN3",34,1039,"N",NA,"34_1039_N_N",377000,4754000,"natural",0,43,NA,NA,1602.15976045841,NA,1602.15976045841,1602.15976045841,NA,NA,0,668.45076098596,541.126806512444,350.14087480217,28.2942121052258,14.1471060526129,0,0,0,14.532119205298,15.0037627730844,23.235,28.32670625,NA,28.32670625,28.32670625,NA,NA,9.0242825607064,11.4666666666667,"70",62.0988751414618,49.3508356645865,706.014156061655,21.7876255241635,40.5513403621669
"47","IFN3",34,104,"A",NA,"34_104_A_4",374000,4747000,"natural",0,71,42,NA,2019.49938901049,NA,2019.49938901049,1973.5212943395,45.978094670992,NA,0,1432.39448782706,572.957795130823,0,14.1471060526129,0,0,0,0,11.911646234676,12.1634200459991,17.8193548387097,23.4663215277778,NA,23.4663215277778,22.09121875,1.37510277777778,NA,9.19614711033275,11.3064516129032,"70",77.2029904948137,63.4503982621289,635.42517657538,19.6812105960168,36.63086042733
"48","IFN3",34,1040,"N",NA,"34_1040_N_N",379000,4754000,"natural",0,43,NA,NA,700.281749604339,NA,700.281749604339,700.281749604339,NA,NA,0,636.619772367581,63.6619772367581,0,0,0,0,0,0,9.45454545454546,9.75987844559179,13.1333333333333,5.2390375,NA,5.2390375,5.2390375,NA,NA,5.77272727272727,7.16666666666667,"65",61.0576923076923,54.5685279187817,154.752391889049,52.7286182400441,98.1390166958493
"49","IFN3",34,1041,"N",NA,"34_1041_N_N",386000,4754000,"natural",0,43,278,NA,2008.88905947103,NA,2008.88905947103,1994.74195341842,14.1471060526129,NA,0,636.619772367581,763.943726841098,509.295817894065,56.5884242104517,42.4413181578388,0,0,0,15.1333626760563,15.7883337713214,25.0256756756757,39.3295006944444,NA,39.3295006944444,38.4552756944444,0.874225,NA,8.41197183098592,10.1891891891892,"25",55.5856091673211,40.7149414115233,960.709310311292,21.8968880031089,40.7547007498151
"50","IFN3",34,1042,"N",NA,"34_1042_N_N",376000,4753000,"natural",0,43,215,NA,705.37470778328,NA,705.37470778328,673.543719164901,31.8309886183791,NA,0,127.323954473516,190.985931710274,127.323954473516,113.176848420903,70.7355302630646,42.4413181578388,28.2942121052258,5.09295817894065,20.2992579221821,22.0328570096213,35.6923913043478,26.8937520555556,NA,26.8937520555556,26.2335958055556,0.66015625,NA,9.34446450060168,14.1358695652174,"70",46.0335276118172,39.6047141943539,575.910277719876,26.6359094079019,49.5750134431936
"51","IFN3",34,1043,"N",NA,"34_1043_N_N",389000,4753000,"natural",0,43,57,74,1341.85300909034,NA,1341.85300909034,195.230063526058,89.1267681314614,636.619772367581,0,891.267681314614,127.323954473516,31.8309886183791,99.0297423682904,99.0297423682904,42.4413181578388,0,50.9295817894065,15.0780759093305,18.3824527916665,42.4431578947368,35.6124411388889,NA,35.6124411388889,17.9519571111111,5.80510625,3.9481,7.36468107538218,11.9789473684211,"90",48.8436397300853,28.2235063614494,819.178947686558,22.7891890432445,42.4154601172793
"52","IFN3",34,1044,"N",NA,"34_1044_N_N",391000,4753000,"natural",0,43,NA,NA,33.3871702841665,NA,33.3871702841665,33.3871702841665,NA,NA,0,0,0,0,14.1471060526129,0,14.1471060526129,0,5.09295817894065,32.3847457627119,33.2754261137382,32.3847457627119,2.903466,NA,2.903466,2.903466,NA,NA,9.34745762711865,9.34745762711865,"80",28.8637672057361,28.8637672057361,52.831667380984,185.147003991517,344.597403125404
"55","IFN3",34,1047,"N",NA,"34_1047_N_N",391000,4751000,"natural",0,43,215,NA,714.004442475374,NA,714.004442475374,682.173453856995,31.8309886183791,NA,0,127.323954473516,190.985931710274,286.478897565412,56.5884242104517,0,14.1471060526129,28.2942121052258,10.1859163578813,18.8638299980186,20.2965692836975,32.8717616580311,23.1012811944444,NA,23.1012811944444,22.7012249444444,0.40005625,NA,10.1581137309293,12.199481865285,"80",53.8496887005249,37.1123458249596,510.999564654782,30.6766659573466,57.0957088019174
"56","IFN3",34,1048,"N",NA,"34_1048_N_N",394000,4751000,"plantation",0,21,NA,NA,286.478897565412,NA,286.478897565412,286.478897565412,NA,NA,0,0,254.647908947033,31.8309886183791,0,0,0,0,0,14.4555555555556,14.5415687675788,15.8375,4.7577875,NA,4.7577875,4.7577875,NA,NA,5.77777777777778,5.875,"90",39.9692544196772,37.095501183899,120.057694001085,100.564757498185,187.172103964471
"58","IFN3",34,105,"A",NA,"34_105_A_1",349000,4746000,"plantation",0,21,NA,NA,763.943726841098,NA,763.943726841098,763.943726841098,NA,NA,0,509.295817894065,254.647908947033,0,0,0,0,0,0,10.43125,10.8581142853321,15.45,7.07391875,NA,7.07391875,7.07391875,NA,NA,4.9375,6.25,"50",47.3337327741162,40.453074433657,200.333454818401,57.8881003646614,107.741894967088
"59","IFN3",34,1050,"N",NA,"34_1050_N_N",379000,4749000,"natural",0,43,NA,NA,14.1471060526129,NA,14.1471060526129,14.1471060526129,NA,NA,0,0,0,0,14.1471060526129,0,0,0,0,23.25,23.25,23.25,0.600625,NA,0.600625,0.600625,NA,NA,8,8,"85",34.4086021505376,34.4086021505376,12.5916528464608,332.335097044784,618.545312320088
"60","IFN3",34,1051,"N",NA,"34_1051_N_N",391000,4748000,"natural",0,43,NA,NA,396.118969473162,NA,396.118969473162,396.118969473162,NA,NA,0,381.971863420549,0,0,0,0,14.1471060526129,0,0,10.8375,11.8846351888238,12.84,4.394275,NA,4.394275,4.394275,NA,NA,5.5,5.5,"70",50.7497116493656,42.8348909657321,120.083745147374,91.3533525941835,170.027747638829
"61","IFN3",34,1052,"N",NA,"34_1052_N_N",378000,4747000,"natural",0,55,58,NA,196.078889889215,NA,196.078889889215,190.985931710274,5.09295817894065,NA,0,127.323954473516,63.6619772367581,0,0,0,0,0,5.09295817894065,11.6016233766234,13.7033393645585,11.6016233766234,2.89183525,NA,2.89183525,1.78513125,1.106704,NA,8.72077922077922,8.72077922077922,"60",75.1686116474967,75.1686116474967,74.7039418874659,81.8897015722903,152.413908387188
"62","IFN3",34,1053,"N",NA,"34_1053_N_N",386000,4747000,"natural",0,43,NA,NA,983.223870656598,NA,983.223870656598,983.223870656598,NA,NA,0,381.971863420549,350.14087480217,222.816920328653,28.2942121052258,0,0,0,0,13.8661870503597,14.5877529445499,21.3842857142857,16.4330847222222,NA,16.4330847222222,16.4330847222222,NA,NA,7.07194244604317,8.72857142857143,"70",51.001348967521,40.8176898924444,414.152303452939,36.5368096732089,68.0026652359535
"63","IFN3",34,1054,"N",NA,"34_1054_N_N",392000,4746000,"plantation",0,25,NA,NA,449.17061717046,NA,449.17061717046,449.17061717046,NA,NA,0,0,95.4929658551372,127.323954473516,155.618166578742,70.7355302630646,0,0,0,22.057874015748,22.6970353435383,28.71875,18.1735381944444,NA,18.1735381944444,18.1735381944444,NA,NA,9.81496062992126,11.75,"50",44.4964035197316,40.9140369967356,384.63436620985,40.1565564827405,74.7397731752924
"64","IFN3",34,1055,"N",NA,"34_1055_N_N",379000,4745000,"natural",0,43,42,71,497.836661991449,NA,497.836661991449,355.23383298111,128.455722957725,14.1471060526129,0,0,31.8309886183791,63.6619772367581,113.176848420903,113.176848420903,84.8826363156775,70.7355302630646,20.3718327157626,29.625831202046,30.6546554371695,41.0629032258064,36.7425788888889,NA,36.7425788888889,20.3909634444444,14.9513376666667,1.40027777777778,19.9143222506394,22.6021505376344,"80",67.219454923729,55.0427484713985,690.589461456466,19.8292733138729,36.9064361967075
"65","IFN3",34,1056,"N",NA,"34_1056_N_N",398000,4745000,"plantation",0,258,NA,NA,201.596261249734,NA,201.596261249734,201.596261249734,NA,NA,0,0,0,159.154943091895,28.2942121052258,14.1471060526129,0,0,0,21.6368421052632,21.7708843069998,23.125,7.50454722222222,NA,7.50454722222222,7.50454722222222,NA,NA,14.4824561403509,14.4666666666667,"30",66.9342414659856,62.5585585585586,161.465540919653,48.6844522865439,90.6119757211642
"66","IFN3",34,1057,"N",NA,"34_1057_N_N",377000,4744000,"natural",0,43,NA,NA,381.971863420549,NA,381.971863420549,381.971863420549,NA,NA,0,254.647908947033,63.6619772367581,63.6619772367581,0,0,0,0,0,12.2875,12.820060777287,17.1625,4.93061875,NA,4.93061875,4.93061875,NA,NA,6.29166666666667,7.375,"70",51.2037978975924,42.9715950473416,130.767928584979,69.3780818946772,129.12716025274
"67","IFN3",34,1058,"N",NA,"34_1058_N_N",394000,4744000,"natural",0,43,NA,NA,1347.51185151138,NA,1347.51185151138,1347.51185151138,NA,NA,0,891.267681314614,286.478897565412,127.323954473516,28.2942121052258,14.1471060526129,0,0,0,11.7635170603675,12.6027134311136,21.9866666666667,16.8093375,NA,16.8093375,16.8093375,NA,NA,10.3792650918635,12.2666666666667,"50",88.2326691804815,55.7913887204366,448.831880938685,22.2078819021769,41.3335256170629
"68","IFN3",34,1059,"N",NA,"34_1059_N_N",404000,4744000,"natural",0,43,NA,NA,696.744973091186,NA,696.744973091186,696.744973091186,NA,NA,0,254.647908947033,381.971863420549,31.8309886183791,0,28.2942121052258,0,0,0,13.5598984771574,14.185641020677,19.6228571428571,11.0118847222222,NA,11.0118847222222,11.0118847222222,NA,NA,9.43401015228426,10.6714285714286,"75",69.5728671433385,54.3826441467676,280.606495372578,35.5009942496826,66.0747955034207
"69","IFN3",34,106,"A",NA,"34_106_A_1",350000,4746000,"plantation",0,21,215,NA,268.370601818067,NA,268.370601818067,109.215658726172,159.154943091895,NA,0,127.323954473516,31.8309886183791,0,28.2942121052258,42.4413181578388,28.2942121052258,0,10.1859163578813,18.4699525566684,21.7249268345676,31.5997409326425,9.94813033333333,NA,9.94813033333333,8.77848033333333,1.16965,NA,8.39536109646811,12.4689119170984,"65",45.4541562611488,39.4589055134249,214.219663994265,48.9557798298523,91.1169731815863
"70","IFN3",34,1060,"N",NA,"34_1060_N_N",407000,4744000,"plantation",0,21,NA,NA,1046.88584789336,NA,1046.88584789336,1046.88584789336,NA,NA,0,0,572.957795130823,445.633840657307,28.2942121052258,0,0,0,0,16.9342905405405,17.1378248978606,21.4842857142857,24.14908125,NA,24.14908125,24.14908125,NA,NA,8.27162162162162,8.21428571428571,"75",48.8453980508923,38.2339251280005,571.0899472269,37.6253484691589,70.028664221618
"71","IFN3",34,1061,"N",NA,"34_1061_N_N",348000,4743000,"natural",0,43,NA,NA,105.678882213018,NA,105.678882213018,105.678882213018,NA,NA,0,0,95.4929658551372,0,0,0,0,0,10.1859163578813,17.5186746987952,20.786543521381,17.5186746987952,3.58626725,NA,3.58626725,3.58626725,NA,NA,8,8,"80",45.6655548296138,45.6655548296138,78.5841671446675,121.595053319076,226.313894923021
"72","IFN3",34,1062,"N",NA,"34_1062_N_N",348000,4741000,"plantation",0,21,43,NA,954.929658551372,NA,954.929658551372,763.943726841098,190.985931710274,NA,0,254.647908947033,572.957795130823,127.323954473516,0,0,0,0,0,14.4983333333333,14.825476383577,20.6375,16.48460625,NA,16.48460625,13.87255625,2.61205,NA,7.21666666666667,7.875,"85",49.7758363030233,38.1586917019988,412.806534336403,41.0926119059407,76.4819686257305
"74","IFN3",34,1064,"N",NA,"34_1064_N_N",342000,4735000,"natural",0,43,NA,NA,756.445760633213,NA,756.445760633213,756.445760633213,NA,NA,0,254.647908947033,190.985931710274,31.8309886183791,56.5884242104517,84.8826363156775,70.7355302630646,56.5884242104517,10.1859163578813,20.0983729193941,22.5830632063403,37.6437823834197,30.2993543888889,NA,30.2993543888889,30.2993543888889,NA,NA,10.9891527959604,14.7461139896373,"30",54.6768280200249,39.1727745087919,642.547966813384,24.6566185580582,45.891138078312
